policy,goal_angle,episode,success,cumulative_reward,episode_length,final_absolute_error,terminated,truncated
dqn,-0.8,1,1,10.850437639048323,22,0.015667693574230035,1,0
dqn,-0.8,2,1,10.850437639048323,22,0.015667693574230035,1,0
dqn,-0.8,3,1,10.850437639048323,22,0.015667693574230035,1,0
dqn,-0.8,4,1,10.850437639048323,22,0.015667693574230035,1,0
dqn,-0.8,5,1,10.850437639048323,22,0.015667693574230035,1,0
dqn,-0.4,1,1,15.629948536958546,17,0.010051698440932455,1,0
dqn,-0.4,2,1,15.629948536958546,17,0.010051698440932455,1,0
dqn,-0.4,3,1,15.629948536958546,17,0.010051698440932455,1,0
dqn,-0.4,4,1,15.629948536958546,17,0.010051698440932455,1,0
dqn,-0.4,5,1,15.629948536958546,17,0.010051698440932455,1,0
dqn,0.4,1,1,15.443389751552603,18,0.0009370588317433315,1,0
dqn,0.4,2,1,15.443389751552603,18,0.0009370588317433315,1,0
dqn,0.4,3,1,15.443389751552603,18,0.0009370588317433315,1,0
dqn,0.4,4,1,15.443389751552603,18,0.0009370588317433315,1,0
dqn,0.4,5,1,15.443389751552603,18,0.0009370588317433315,1,0
dqn,0.8,1,1,10.744601614016574,23,0.011363288672229799,1,0
dqn,0.8,2,1,10.744601614016574,23,0.011363288672229799,1,0
dqn,0.8,3,1,10.744601614016574,23,0.011363288672229799,1,0
dqn,0.8,4,1,10.744601614016574,23,0.011363288672229799,1,0
dqn,0.8,5,1,10.744601614016574,23,0.011363288672229799,1,0
